bucket,sample_id,latency_ms,span_accuracy,label_consistency,labeled_precision,labeled_recall,labeled_f1,unlabeled_precision,unlabeled_recall,unlabeled_f1
test_noisy,9,725.6747999999789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_adversarial,0,719.9194999993779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_adversarial,1,734.507000001031,1.0,0.7083333333333334,0.5089820359281437,0.7083333333333334,0.5923344947735192,0.718562874251497,1.0,0.8362369337979094
test_adversarial,2,711.8570000002364,1.0,0.7745098039215687,0.7383177570093458,0.7745098039215687,0.7559808612440191,0.9532710280373832,1.0,0.9760765550239235
test_adversarial,3,796.1446999997861,1.0,0.654639175257732,0.5720720720720721,0.654639175257732,0.6105769230769231,0.8738738738738738,1.0,0.9326923076923077
test_adversarial,4,734.2738999996072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_adversarial,5,742.9265999999188,1.0,0.7232704402515723,0.6149732620320856,0.7232704402515723,0.6647398843930636,0.8502673796791443,1.0,0.9190751445086706
test_adversarial,6,718.5214000000997,0.9895287958115183,0.6349206349206349,0.5172413793103449,0.6282722513089005,0.5673758865248226,0.8146551724137931,0.9895287958115183,0.8936170212765957
test_adversarial,7,716.50899999986,1.0,0.5714285714285714,0.45614035087719296,0.5714285714285714,0.5073170731707317,0.7982456140350878,1.0,0.8878048780487805
test_adversarial,8,718.8417999986996,1.0,0.30392156862745096,0.2672413793103448,0.30392156862745096,0.2844036697247706,0.8793103448275862,1.0,0.9357798165137614
test_adversarial,9,761.5349000006972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
